mu_mult,phi,trials,rejections,rejection_rate,ci_low,ci_high
0.00,-0.80,200,0,0.0000,0.0000,0.0183
0.00,-0.40,200,0,0.0000,0.0000,0.0183
0.00,0.00,200,0,0.0000,0.0000,0.0183
0.00,0.40,200,0,0.0000,0.0000,0.0183
0.00,0.80,200,0,0.0000,0.0000,0.0183
0.50,-0.80,200,0,0.0000,0.0000,0.0183
0.50,-0.40,200,0,0.0000,0.0000,0.0183
0.50,0.00,200,0,0.0000,0.0000,0.0183
0.50,0.40,200,0,0.0000,0.0000,0.0183
0.50,0.80,200,0,0.0000,0.0000,0.0183
1.00,-0.80,200,193,0.9650,0.9295,0.9829
1.00,-0.40,200,178,0.8900,0.8391,0.9262
1.00,0.00,200,168,0.8400,0.7829,0.8843
1.00,0.40,200,165,0.8250,0.7664,0.8714
1.00,0.80,200,20,0.1000,0.0657,0.1494
1.50,-0.80,200,200,1.0000,0.9817,1.0000
1.50,-0.40,200,200,1.0000,0.9817,1.0000
1.50,0.00,200,200,1.0000,0.9817,1.0000
1.50,0.40,200,200,1.0000,0.9817,1.0000
1.50,0.80,200,200,1.0000,0.9817,1.0000
2.00,-0.80,200,200,1.0000,0.9817,1.0000
2.00,-0.40,200,200,1.0000,0.9817,1.0000
2.00,0.00,200,200,1.0000,0.9817,1.0000
2.00,0.40,200,200,1.0000,0.9817,1.0000
2.00,0.80,200,200,1.0000,0.9817,1.0000
